	st_name	st_date	st_place	st_knownfor	st_awards_wins	st_awards_nominations	st_link	st_awards_link
0	" Christian Bale
"	1974-1-30	Haverfordwest, Pembrokeshire, Wales, UK	['The Dark Knight', 'Batman Begins', 'American Hustle', 'Vice']	75	114	https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000288/awards?ref_=nm_ql_2
1	" Robert Downey Jr.
"	1965-4-4	Manhattan, New York City, New York, USA	['Iron Man', 'Sherlock Holmes', 'Iron Man Three', 'The Avengers']	37	106	https://www.imdb.com/name/nm0000375/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000375/awards?ref_=nm_ql_2
2	" Edward Norton
(I)
"	1969-8-18	Boston, Massachusetts, USA	['Keeping the Faith', 'American History X', 'Primal Fear', 'Birdman or (The Unexpected Virtue of Ignorance)']	46	81	https://www.imdb.com/name/nm0001570/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001570/awards?ref_=nm_ql_2
3	" Kristen Stewart
(I)
"	1990-4-9	Los Angeles, California, USA	['Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Twilight Saga: Breaking Dawn - Part 1', 'The Twilight Saga: New Moon']	48	67	https://www.imdb.com/name/nm0829576/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0829576/awards?ref_=nm_ql_2
4	" Meryl Streep
"	1949-6-22	Summit, New Jersey, USA	"['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]"	175	357	https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
5	" America Ferrera
"	1984-4-18	Los Angeles, California, USA	['The Sisterhood of the Traveling Pants', 'How to Train Your Dragon', 'Ugly Betty', 'How to Train Your Dragon 2']	22	38	https://www.imdb.com/name/nm1065229/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1065229/awards?ref_=nm_ql_2
6	" Ron Perlman
(I)
"	1950-4-13	New York City, New York, USA	['Hand of God', 'Hellboy II: The Golden Army', 'Hellboy', 'Beauty and the Beast']	8	11	https://www.imdb.com/name/nm0000579/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000579/awards?ref_=nm_ql_2
7	" Seth Rogen
"	1982-4-15	Vancouver, British Columbia, Canada	['This Is the End', 'Superbad', 'Pineapple Express', 'Knocked Up']	12	34	https://www.imdb.com/name/nm0736622/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0736622/awards?ref_=nm_ql_2
8	" Ben Stiller
"	1965-11-30	New York City, New York, USA	"['Tropic Thunder', 'Zoolander', 'The Secret Life of Walter Mitty', ""There's Something About Mary""]"	14	58	https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001774/awards?ref_=nm_ql_2
9	" Adam Sandler
(I)
"	1966-9-9	Brooklyn, New York City, New York, USA	['The Waterboy', 'Little Nicky', 'Big Daddy', 'The Wedding Singer']	54	77	https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001191/awards?ref_=nm_ql_2
10	" Kristen Bell
(I)
"	1980-7-18	Huntington Woods, Michigan, USA	['Frozen', 'Veronica Mars', 'Forgetting Sarah Marshall', 'Veronica Mars']	12	41	https://www.imdb.com/name/nm0068338/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0068338/awards?ref_=nm_ql_2
11	" Brad Pitt
"	1963-12-18	Shawnee, Oklahoma, USA	['Mr. & Mrs. Smith', 'Moneyball', 'Twelve Monkeys', 'Inglourious Basterds']	67	152	https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000093/awards?ref_=nm_ql_2
12	" Angelina Jolie
"	1975-6-4	Los Angeles, California, USA	['Maleficent', 'Girl, Interrupted', 'Changeling', 'Salt']	56	111	https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001401/awards?ref_=nm_ql_2
13	" Asa Butterfield
"	1997-4-1	Islington, London, England, UK	"['Hugo', ""Ender's Game"", 'The Boy in the Striped Pajamas', 'The Space Between Us']"	5	17	https://www.imdb.com/name/nm2633535/?ref_=adv_li_st_0	https://www.imdb.com/name/nm2633535/awards?ref_=nm_ql_2
14	" Morjana Alaoui
"	1983-0-0	NA	['Martyrs', 'Broken', 'Forces spéciales', 'Marock']	1	0	https://www.imdb.com/name/nm1662011/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1662011/awards?ref_=nm_ql_2
15	" Daniel Craig
(I)
"	1968-3-2	Chester, Cheshire, England, UK	['Casino Royale', 'Skyfall', 'Spectre', 'Quantum of Solace']	14	31	https://www.imdb.com/name/nm0185819/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0185819/awards?ref_=nm_ql_2
16	" Kate Winslet
"	1975-10-5	Reading, Berkshire, England, UK	['Eternal Sunshine of the Spotless Mind', 'Titanic', 'Revolutionary Road', 'Sense and Sensibility']	87	155	https://www.imdb.com/name/nm0000701/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000701/awards?ref_=nm_ql_2
17	" Jeremy Renner
"	1971-1-7	Modesto, California, USA	['The Hurt Locker', 'The Town', 'The Avengers', 'Wind River']	34	59	https://www.imdb.com/name/nm0719637/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0719637/awards?ref_=nm_ql_2
18	" Clint Eastwood
"	1930-5-31	San Francisco, California, USA	['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']	149	159	https://www.imdb.com/name/nm0000142/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
19	" Dev Patel
(I)
"	1990-4-23	Harrow, London, England, UK	['Slumdog Millionaire', 'Lion', 'Chappie', 'The Last Airbender']	19	39	https://www.imdb.com/name/nm2353862/?ref_=adv_li_st_0	https://www.imdb.com/name/nm2353862/awards?ref_=nm_ql_2
20	" Colin Farrell
(I)
"	1976-5-31	Castleknock, Dublin, Ireland	['The Lobster', 'In Bruges', 'S.W.A.T.', 'Seven Psychopaths']	15	58	https://www.imdb.com/name/nm0268199/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0268199/awards?ref_=nm_ql_2
21	" Leonardo DiCaprio
"	1974-11-11	Hollywood, Los Angeles, California, USA	['Inception', 'The Departed', 'The Wolf of Wall Street', 'Titanic']	98	209	https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000138/awards?ref_=nm_ql_2
22	" Liam Neeson
"	1952-6-7	Ballymena, Co. Antrim, Northern Ireland, UK	"['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']"	22	42	https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000553/awards?ref_=nm_ql_2
23	" Will Ferrell
(I)
"	1967-7-16	Irvine, California, USA	['Talladega Nights: The Ballad of Ricky Bobby', 'Anchorman 2: The Legend Continues', 'Anchorman: The Legend of Ron Burgundy', 'Blades of Glory']	12	75	https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0002071/awards?ref_=nm_ql_2
24	" Ben Burtt
"	1948-7-12	Jamesville, New York, USA	['WALL·E', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode I - The Phantom Menace', 'Super 8']	18	45	https://www.imdb.com/name/nm0123785/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0123785/awards?ref_=nm_ql_2
25	" Natalie Portman
"	1981-6-9	Jerusalem, Israel	['Black Swan', 'V for Vendetta', 'Closer', 'Léon: The Professional']	86	132	https://www.imdb.com/name/nm0000204/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000204/awards?ref_=nm_ql_2
26	" Leonardo DiCaprio
"	1974-11-11	Hollywood, Los Angeles, California, USA	['Inception', 'The Departed', 'The Wolf of Wall Street', 'Titanic']	98	209	https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000138/awards?ref_=nm_ql_2
27	" Josh Zuckerman
(I)
"	1985-4-1	Stanford, California, USA	['Austin Powers in Goldmember', 'Sex Drive', 'Feast', 'Surviving Christmas']	0	2	https://www.imdb.com/name/nm0958430/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0958430/awards?ref_=nm_ql_2
28	" Freddie Highmore
"	1992-2-14	Camden Town, London, England, UK	['Finding Neverland', 'Charlie and the Chocolate Factory', 'The Art of Getting By', 'Bates Motel']	13	31	https://www.imdb.com/name/nm0383603/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0383603/awards?ref_=nm_ql_2
29	" Scott Speedman
"	1975-9-1	London, England, UK	['Underworld', 'The Strangers', 'Underworld: Evolution', 'Barefoot']	2	9	https://www.imdb.com/name/nm0005454/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0005454/awards?ref_=nm_ql_2
30	" Brendan Fraser
"	1968-12-3	Indianapolis, Indiana, USA	['The Mummy', 'Crash', 'The Mummy Returns', 'The Mummy: Tomb of the Dragon Emperor']	8	11	https://www.imdb.com/name/nm0000409/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000409/awards?ref_=nm_ql_2
31	" Camilla Belle
"	1986-10-2	Los Angeles, California, USA	['Practical Magic', 'When a Stranger Calls', 'Push', 'The Lost World: Jurassic Park']	0	5	https://www.imdb.com/name/nm0004741/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0004741/awards?ref_=nm_ql_2
	st_name	st_date	st_place	st_knownfor	st_awards_wins	st_awards_nominations	st_link	st_awards_link
0	" Christian Bale
"	1974-1-30	Haverfordwest, Pembrokeshire, Wales, UK	['The Dark Knight', 'Batman Begins', 'American Hustle', 'Vice']	75	114	https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000288/awards?ref_=nm_ql_2
1	" Robert Downey Jr.
"	1965-4-4	Manhattan, New York City, New York, USA	['Iron Man', 'Sherlock Holmes', 'Iron Man Three', 'The Avengers']	37	106	https://www.imdb.com/name/nm0000375/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000375/awards?ref_=nm_ql_2
2	" Edward Norton
(I)
"	1969-8-18	Boston, Massachusetts, USA	['Keeping the Faith', 'American History X', 'Primal Fear', 'Birdman or (The Unexpected Virtue of Ignorance)']	46	81	https://www.imdb.com/name/nm0001570/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001570/awards?ref_=nm_ql_2
3	" Kristen Stewart
(I)
"	1990-4-9	Los Angeles, California, USA	['Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Twilight Saga: Breaking Dawn - Part 1', 'The Twilight Saga: New Moon']	48	67	https://www.imdb.com/name/nm0829576/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0829576/awards?ref_=nm_ql_2
4	" Meryl Streep
"	1949-6-22	Summit, New Jersey, USA	"['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]"	175	357	https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
5	" America Ferrera
"	1984-4-18	Los Angeles, California, USA	['The Sisterhood of the Traveling Pants', 'How to Train Your Dragon', 'Ugly Betty', 'How to Train Your Dragon 2']	22	38	https://www.imdb.com/name/nm1065229/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1065229/awards?ref_=nm_ql_2
6	" Ron Perlman
(I)
"	1950-4-13	New York City, New York, USA	['Hand of God', 'Hellboy II: The Golden Army', 'Hellboy', 'Beauty and the Beast']	8	11	https://www.imdb.com/name/nm0000579/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000579/awards?ref_=nm_ql_2
7	" Seth Rogen
"	1982-4-15	Vancouver, British Columbia, Canada	['This Is the End', 'Superbad', 'Pineapple Express', 'Knocked Up']	12	34	https://www.imdb.com/name/nm0736622/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0736622/awards?ref_=nm_ql_2
8	" Ben Stiller
"	1965-11-30	New York City, New York, USA	"['Tropic Thunder', 'Zoolander', 'The Secret Life of Walter Mitty', ""There's Something About Mary""]"	14	58	https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001774/awards?ref_=nm_ql_2
9	" Adam Sandler
(I)
"	1966-9-9	Brooklyn, New York City, New York, USA	['The Waterboy', 'Little Nicky', 'Big Daddy', 'The Wedding Singer']	54	77	https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001191/awards?ref_=nm_ql_2
10	" Kristen Bell
(I)
"	1980-7-18	Huntington Woods, Michigan, USA	['Frozen', 'Veronica Mars', 'Forgetting Sarah Marshall', 'Veronica Mars']	12	41	https://www.imdb.com/name/nm0068338/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0068338/awards?ref_=nm_ql_2
11	" Brad Pitt
"	1963-12-18	Shawnee, Oklahoma, USA	['Mr. & Mrs. Smith', 'Moneyball', 'Twelve Monkeys', 'Inglourious Basterds']	67	152	https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000093/awards?ref_=nm_ql_2
12	" Angelina Jolie
"	1975-6-4	Los Angeles, California, USA	['Maleficent', 'Girl, Interrupted', 'Changeling', 'Salt']	56	111	https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001401/awards?ref_=nm_ql_2
13	" Asa Butterfield
"	1997-4-1	Islington, London, England, UK	"['Hugo', ""Ender's Game"", 'The Boy in the Striped Pajamas', 'The Space Between Us']"	5	17	https://www.imdb.com/name/nm2633535/?ref_=adv_li_st_0	https://www.imdb.com/name/nm2633535/awards?ref_=nm_ql_2
14	" Morjana Alaoui
"	1983-0-0	NA	['Martyrs', 'Broken', 'Forces spéciales', 'Marock']	1	0	https://www.imdb.com/name/nm1662011/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1662011/awards?ref_=nm_ql_2
15	" Daniel Craig
(I)
"	1968-3-2	Chester, Cheshire, England, UK	['Casino Royale', 'Skyfall', 'Spectre', 'Quantum of Solace']	14	31	https://www.imdb.com/name/nm0185819/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0185819/awards?ref_=nm_ql_2
16	" Kate Winslet
"	1975-10-5	Reading, Berkshire, England, UK	['Eternal Sunshine of the Spotless Mind', 'Titanic', 'Revolutionary Road', 'Sense and Sensibility']	87	155	https://www.imdb.com/name/nm0000701/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000701/awards?ref_=nm_ql_2
17	" Jeremy Renner
"	1971-1-7	Modesto, California, USA	['The Hurt Locker', 'The Town', 'The Avengers', 'Wind River']	34	59	https://www.imdb.com/name/nm0719637/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0719637/awards?ref_=nm_ql_2
18	" Clint Eastwood
"	1930-5-31	San Francisco, California, USA	['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']	149	159	https://www.imdb.com/name/nm0000142/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
19	" Dev Patel
(I)
"	1990-4-23	Harrow, London, England, UK	['Slumdog Millionaire', 'Lion', 'Chappie', 'The Last Airbender']	19	39	https://www.imdb.com/name/nm2353862/?ref_=adv_li_st_0	https://www.imdb.com/name/nm2353862/awards?ref_=nm_ql_2
20	" Colin Farrell
(I)
"	1976-5-31	Castleknock, Dublin, Ireland	['The Lobster', 'In Bruges', 'S.W.A.T.', 'Seven Psychopaths']	15	58	https://www.imdb.com/name/nm0268199/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0268199/awards?ref_=nm_ql_2
21	" Leonardo DiCaprio
"	1974-11-11	Hollywood, Los Angeles, California, USA	['Inception', 'The Departed', 'The Wolf of Wall Street', 'Titanic']	98	209	https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000138/awards?ref_=nm_ql_2
22	" Liam Neeson
"	1952-6-7	Ballymena, Co. Antrim, Northern Ireland, UK	"['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']"	22	42	https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000553/awards?ref_=nm_ql_2
23	" Will Ferrell
(I)
"	1967-7-16	Irvine, California, USA	['Talladega Nights: The Ballad of Ricky Bobby', 'Anchorman 2: The Legend Continues', 'Anchorman: The Legend of Ron Burgundy', 'Blades of Glory']	12	75	https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0002071/awards?ref_=nm_ql_2
24	" Ben Burtt
"	1948-7-12	Jamesville, New York, USA	['WALL·E', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode I - The Phantom Menace', 'Super 8']	18	45	https://www.imdb.com/name/nm0123785/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0123785/awards?ref_=nm_ql_2
25	" Natalie Portman
"	1981-6-9	Jerusalem, Israel	['Black Swan', 'V for Vendetta', 'Closer', 'Léon: The Professional']	86	132	https://www.imdb.com/name/nm0000204/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000204/awards?ref_=nm_ql_2
26	" Leonardo DiCaprio
"	1974-11-11	Hollywood, Los Angeles, California, USA	['Inception', 'The Departed', 'The Wolf of Wall Street', 'Titanic']	98	209	https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000138/awards?ref_=nm_ql_2
27	" Josh Zuckerman
(I)
"	1985-4-1	Stanford, California, USA	['Austin Powers in Goldmember', 'Sex Drive', 'Feast', 'Surviving Christmas']	0	2	https://www.imdb.com/name/nm0958430/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0958430/awards?ref_=nm_ql_2
28	" Freddie Highmore
"	1992-2-14	Camden Town, London, England, UK	['Finding Neverland', 'Charlie and the Chocolate Factory', 'The Art of Getting By', 'Bates Motel']	13	31	https://www.imdb.com/name/nm0383603/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0383603/awards?ref_=nm_ql_2
29	" Scott Speedman
"	1975-9-1	London, England, UK	['Underworld', 'The Strangers', 'Underworld: Evolution', 'Barefoot']	2	9	https://www.imdb.com/name/nm0005454/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0005454/awards?ref_=nm_ql_2
30	" Brendan Fraser
"	1968-12-3	Indianapolis, Indiana, USA	['The Mummy', 'Crash', 'The Mummy Returns', 'The Mummy: Tomb of the Dragon Emperor']	8	11	https://www.imdb.com/name/nm0000409/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000409/awards?ref_=nm_ql_2
31	" Camilla Belle
"	1986-10-2	Los Angeles, California, USA	['Practical Magic', 'When a Stranger Calls', 'Push', 'The Lost World: Jurassic Park']	0	5	https://www.imdb.com/name/nm0004741/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0004741/awards?ref_=nm_ql_2
32	" Rebecca Hall
(I)
"	1982-5-3	London, England, UK	['Vicky Cristina Barcelona', 'The Town', 'The Prestige', 'Christine']	11	28	https://www.imdb.com/name/nm0356017/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0356017/awards?ref_=nm_ql_2
33	" Seth Rogen
"	1982-4-15	Vancouver, British Columbia, Canada	['This Is the End', 'Superbad', 'Pineapple Express', 'Knocked Up']	12	34	https://www.imdb.com/name/nm0736622/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0736622/awards?ref_=nm_ql_2
34	" Will Smith
(I)
"	1968-9-25	Philadelphia, Pennsylvania, USA	['The Fresh Prince of Bel-Air', 'I Am Legend', 'Men in Black', 'Wild Wild West']	63	129	https://www.imdb.com/name/nm0000226/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000226/awards?ref_=nm_ql_2
35	" Gerard Butler
(I)
"	1969-11-13	Paisley, Scotland, UK	['The Phantom of the Opera', '300', 'Law Abiding Citizen', 'The Bounty Hunter']	4	15	https://www.imdb.com/name/nm0124930/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0124930/awards?ref_=nm_ql_2
36	" Harrison Ford
(I)
"	1942-7-13	Chicago, Illinois, USA	['Raiders of the Lost Ark', 'The Fugitive', 'Witness', 'Air Force One']	41	40	https://www.imdb.com/name/nm0000148/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000148/awards?ref_=nm_ql_2
37	" Sylvester Stallone
"	1946-7-6	New York City, New York, USA	['Rocky', 'Rocky IV', 'Creed', 'Rocky III']	57	66	https://www.imdb.com/name/nm0000230/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
38	" Mickey Rourke
"	1952-9-16	Schenectady, New York, USA	['The Wrestler', 'Sin City', 'Angel Heart', 'Iron Man 2']	38	38	https://www.imdb.com/name/nm0000620/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000620/awards?ref_=nm_ql_2
39	" Jack Black
(I)
"	1969-8-28	Hermosa Beach, California, USA	['School of Rock', 'Nacho Libre', 'King Kong', 'High Fidelity']	11	48	https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0085312/awards?ref_=nm_ql_2
40	" Mark Wahlberg
(I)
"	1971-6-5	Dorchester, Boston, Massachusetts, USA	['The Fighter', 'The Departed', 'Boogie Nights', 'Ted']	21	71	https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000242/awards?ref_=nm_ql_2
41	" Josh Brolin
"	1968-2-12	Santa Monica, California, USA	['No Country for Old Men', 'Avengers: Infinity War', 'Inherent Vice', 'Milk']	16	52	https://www.imdb.com/name/nm0000982/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000982/awards?ref_=nm_ql_2
42	" Tom Cruise
"	1962-7-3	Syracuse, New York, USA	['Top Gun', 'The Last Samurai', 'Jerry Maguire', 'Minority Report']	52	81	https://www.imdb.com/name/nm0000129/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000129/awards?ref_=nm_ql_2
43	" Anna Faris
"	1976-11-29	Baltimore, Maryland, USA	['The House Bunny', 'Just Friends', 'Scary Movie 4', 'Brokeback Mountain']	1	22	https://www.imdb.com/name/nm0267506/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0267506/awards?ref_=nm_ql_2
44	" Meryl Streep
"	1949-6-22	Summit, New Jersey, USA	"['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]"	175	357	https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
45	" Hayden Christensen
"	1981-4-19	Vancouver, British Columbia, Canada	['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode II - Attack of the Clones', 'Jumper', 'Shattered Glass']	9	19	https://www.imdb.com/name/nm0159789/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0159789/awards?ref_=nm_ql_2
46	" Steve Carell
"	1962-8-16	Concord, Massachusetts, USA	['The Office', 'The 40 Year Old Virgin', 'Foxcatcher', 'Little Miss Sunshine']	33	130	https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0136797/awards?ref_=nm_ql_2
47	" Tom Hardy
(I)
"	1977-9-15	Hammersmith, London, England, UK	['Inception', 'The Dark Knight Rises', 'Locke', 'Mad Max: Fury Road']	17	78	https://www.imdb.com/name/nm0362766/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0362766/awards?ref_=nm_ql_2
48	" Philip Seymour Hoffman
(1967–2014)
"	1967-7-23	Fairport, New York, USA	"['The Master', 'Capote', ""Charlie Wilson's War"", 'Almost Famous']"	90	99	https://www.imdb.com/name/nm0000450/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000450/awards?ref_=nm_ql_2
49	" Ben Barnes
(I)
"	1981-8-20	London, England, UK	['The Chronicles of Narnia: Prince Caspian', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'The Big Wedding', 'Dorian Gray']	0	5	https://www.imdb.com/name/nm1602660/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1602660/awards?ref_=nm_ql_2
50	" Jim Sturgess
"	1978-5-16	Wandsworth, London, England, UK	['21', 'Across the Universe', 'Cloud Atlas', 'The Best Offer']	2	3	https://www.imdb.com/name/nm0836343/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0836343/awards?ref_=nm_ql_2
51	" Brad Pitt
"	1963-12-18	Shawnee, Oklahoma, USA	['Mr. & Mrs. Smith', 'Moneyball', 'Twelve Monkeys', 'Inglourious Basterds']	67	152	https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000093/awards?ref_=nm_ql_2
52	" Paris Hilton
"	1981-2-17	New York City, New York, USA	['The Hottie & the Nottie', 'House of Wax', 'Repo! The Genetic Opera', 'Pledge This!']	6	14	https://www.imdb.com/name/nm0385296/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0385296/awards?ref_=nm_ql_2
53	" Sean Faris
"	1982-3-25	Houston, Texas, USA	['Never Back Down', 'Sleepover', 'Yours, Mine & Ours', 'Pearl Harbor']	2	2	https://www.imdb.com/name/nm0267511/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0267511/awards?ref_=nm_ql_2
54	" Jason Statham
"	1967-7-26	Shirebrook, Derbyshire, England, UK	['Crank', 'Furious 7', 'Spy', 'The Meg']	1	3	https://www.imdb.com/name/nm0005458/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0005458/awards?ref_=nm_ql_2
55	" Will Smith
(I)
"	1968-9-25	Philadelphia, Pennsylvania, USA	['The Fresh Prince of Bel-Air', 'I Am Legend', 'Men in Black', 'Wild Wild West']	63	129	https://www.imdb.com/name/nm0000226/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000226/awards?ref_=nm_ql_2
56	" Jim Carrey
"	1962-1-17	Newmarket, Ontario, Canada	['The Truman Show', 'Bruce Almighty', 'Ace Ventura: Pet Detective', 'Eternal Sunshine of the Spotless Mind']	48	95	https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000120/awards?ref_=nm_ql_2
57	" John Travolta
(I)
"	1954-2-18	Englewood, New Jersey, USA	['Battlefield Earth', 'Hairspray', 'Face/Off', 'Get Shorty']	52	60	https://www.imdb.com/name/nm0000237/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0000237/awards?ref_=nm_ql_2
58	" Mike Vogel
(I)
"	1979-7-17	Abington, Pennsylvania, USA	"['The Help', 'Cloverfield', ""She's Out of My League"", 'The Texas Chainsaw Massacre']"	8	5	https://www.imdb.com/name/nm1036181/?ref_=adv_li_st_0	https://www.imdb.com/name/nm1036181/awards?ref_=nm_ql_2
59	" Katherine Heigl
"	1978-11-24	Washington, District of Columbia, USA	"['One for the Money', 'Knocked Up', 'The Ugly Truth', ""Grey's Anatomy""]"	9	30	https://www.imdb.com/name/nm0001337/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001337/awards?ref_=nm_ql_2
60	" Adam Sandler
(I)
"	1966-9-9	Brooklyn, New York City, New York, USA	['The Waterboy', 'Little Nicky', 'Big Daddy', 'The Wedding Singer']	54	77	https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0	https://www.imdb.com/name/nm0001191/awards?ref_=nm_ql_2
61	" Kåre Hedebrant
"	1995-6-28	Stockholm, Sweden	['Let the Right One In', 'Amors baller', 'Äkta människor', 'Anno 1790']	1	4	https://www.imdb.com/name/nm2968765/?ref_=adv_li_st_0	https://www.imdb.com/name/nm2968765/awards?ref_=nm_ql_2
